Item Name,Qty,Price (total) (USD),Item link,Notes
Brushless motors and ESC,1,$53.00,https://www.amazon.com/gp/product/B0BW5H7Y8Q/ref,This is an example part! Add things to note here.
Batteries,1,$53.00,https://www.amazon.com/gp/product/B09CTSD386/ref,
,,,,
 Cost to hackclub,106$, (Dont forget tax :D),,
,,,,
Stuff I will provide myself: ,,,,
GNSS GPS ,1,,https://www.amazon.com/hiBCTR-GY-NEO6MV2-Controller-Ceramic-Antenna/dp/B0FWC1J7J4/ref,
Fillament,1,,(Varrious Sources),
ESP 32 s3,1,,https://www.amazon.com/Development-ESP32-S3-DevKit-Bluetooth-Internet-ESP32-S3-1-N16R8/dp/B0GVQJ5TST/ref,
BMI270,1,,https://www.sparkfun.com/sparkfun-6dof-imu-breakout-bmi270-qwiic.html,
LM317,1,,https://www.amazon.com/ALLECIN-LM317T-Voltage-Regulator-Adjustable/dp/B0CBLN2X7H/ref,
Resistors,1,,https://www.amazon.com/ONJYHK-100Values-Resistor-Resistors-Assortment/dp/B0GJYDKNPC/ref=,
Capasitors ,1,,https://www.amazon.com/ALLECIN-Electrolytic-Capacitor-Assortment-Kit/dp/B0C1VBXCQM/ref,
